"TIME","CH1","CH2","CH3"
-1.8744e+00,-0.04,-0.01,0
-1.8740e+00,-0.07,0.02,-0.01
-1.8736e+00,-0.06,0.01,0.01
-1.8732e+00,-0.06,0.02,0.01
-1.8728e+00,-0.08,-0.02,-0.01
-1.8724e+00,-0.06,-0.01,0.01
-1.8720e+00,-0.04,-0.01,0
-1.8716e+00,-0.03,0.03,-0.01
-1.8712e+00,-0.03,0,-0.01
-1.8708e+00,-0.04,-0.03,-0.01
-1.8704e+00,-0.03,0.01,0.01
-1.8700e+00,0.02,0.02,0.01
-1.8696e+00,-0.02,0,-0.01
-1.8692e+00,-0.01,0,0
-1.8688e+00,0.01,0.01,0
-1.8684e+00,0.04,-0.01,0.01
-1.8680e+00,0.06,0.02,0.01
-1.8676e+00,0.05,-0.01,-0.01
-1.8672e+00,0.05,-0.01,-0.02
-1.8668e+00,0.05,-0.02,-0.02
-1.8664e+00,0.09,0.01,0.02
-1.8660e+00,0.08,0.02,0
-1.8656e+00,0.06,0,0
-1.8652e+00,0.04,-0.04,-0.02
-1.8648e+00,0.03,0,-0.01
-1.8644e+00,0.09,0.03,0.02
-1.8640e+00,0.04,-0.01,0
-1.8636e+00,0.04,0,0
-1.8632e+00,1.42109e-16,-0.02,-0.01
-1.8628e+00,0.02,0,0
-1.8624e+00,0.03,0,-0.01
-1.8620e+00,0.01,-0.01,-0.01
-1.8616e+00,-0.04,-0.02,-0.04
-1.8612e+00,1.42109e-16,-0.01,-0.01
-1.8608e+00,1.42109e-16,0,0.01
-1.8604e+00,-0.02,0,-0.01
-1.8600e+00,-0.04,0,0.01
-1.8596e+00,-0.08,0,0
-1.8592e+00,-0.05,-0.03,0
-1.8588e+00,-0.03,0.02,0.01
-1.8584e+00,-0.04,0.02,0
-1.8580e+00,-0.08,-0.02,-0.01
-1.8576e+00,-0.09,-0.05,-0.03
-1.8572e+00,-0.07,0.01,-0.01
-1.8568e+00,-0.05,0.01,0.02
-1.8564e+00,-0.05,0,-0.01
-1.8560e+00,-0.07,-0.02,-0.02
-1.8556e+00,-0.06,-0.02,-0.01
-1.8552e+00,-0.04,0.03,0.01
-1.8548e+00,-0.05,0.01,0
-1.8544e+00,-0.05,0,-0.01
-1.8540e+00,-0.05,0,0
-1.8536e+00,0.01,0,0
-1.8532e+00,1.42109e-16,0.02,0.02
-1.8528e+00,0.04,0.04,0.02
-1.8524e+00,0.01,-0.02,-0.01
-1.8520e+00,0.01,-0.02,-0.01
-1.8516e+00,0.01,0,0
-1.8512e+00,0.06,0,0.02
-1.8508e+00,0.05,0,0.01
-1.8504e+00,0.04,-0.01,-0.01
-1.8500e+00,0.07,-0.01,0
-1.8496e+00,0.04,0,0
-1.8492e+00,0.08,0.02,0.01
-1.8488e+00,0.06,-0.01,-0.01
-1.8484e+00,0.06,-0.02,-0.03
