"TIME","CH1","CH2","CH3"
-9.208e-01,-0.02,-0.01,0
-9.206e-01,1.42109e-16,0.01,-0.01
-9.204e-01,1.42109e-16,-0.01,0
-9.202e-01,0.02,-0.01,-0.02
-9.200e-01,-0.01,-0.03,-0.01
-9.198e-01,1.42109e-16,0,-0.01
-9.196e-01,-0.02,0,-0.02
-9.194e-01,-0.01,0.01,-0.02
-9.192e-01,0.02,-0.01,-0.01
-9.190e-01,-0.02,-0.02,-0.01
-9.188e-01,-0.01,-0.01,-0.02
-9.186e-01,-0.01,-0.02,-0.03
-9.184e-01,-0.01,-0.01,-0.04
-9.182e-01,0.01,-0.02,-0.03
-9.180e-01,0.01,0,-0.03
-9.178e-01,-0.03,-0.02,-0.03
-9.176e-01,-0.02,-0.01,-0.03
-9.174e-01,-0.02,-0.02,-0.04
-9.172e-01,1.42109e-16,-0.01,-0.01
-9.170e-01,-0.01,-0.02,-0.03
-9.168e-01,-0.02,-0.01,-0.04
-9.166e-01,1.42109e-16,-0.02,-0.02
-9.164e-01,-0.01,-0.02,-0.03
-9.162e-01,1.42109e-16,-0.02,-0.02
-9.160e-01,-0.01,-0.02,-0.01
-9.158e-01,0.01,-0.02,-0.03
-9.156e-01,1.42109e-16,-0.01,-0.03
-9.154e-01,-0.01,-0.03,-0.02
-9.152e-01,-0.04,-0.01,-0.02
-9.150e-01,-0.02,-0.02,-0.01
-9.148e-01,-0.01,-0.02,-0.03
-9.146e-01,0.01,-0.02,-0.04
-9.144e-01,-0.01,-0.01,-0.01
-9.142e-01,1.42109e-16,-0.03,-0.02
-9.140e-01,-0.03,-0.02,-0.02
-9.138e-01,-0.02,0,-0.02
-9.136e-01,-0.01,0,-0.01
-9.134e-01,-0.01,-0.01,-0.02
-9.132e-01,0.01,0.01,-0.01
-9.130e-01,-0.02,-0.02,-0.02
-9.128e-01,-0.01,-0.01,0
-9.126e-01,1.42109e-16,0.01,-0.01
-9.124e-01,-0.02,0,-0.01
-9.122e-01,-0.01,-0.01,-0.01
-9.120e-01,0.02,0.02,-0.01
-9.118e-01,-0.01,-0.01,-0.01
-9.116e-01,1.42109e-16,0,0.01
-9.114e-01,1.42109e-16,0.01,-0.02
-9.112e-01,-0.01,-0.02,0
-9.110e-01,-0.01,0.01,-0.01
-9.108e-01,-0.01,0.01,0
-9.106e-01,0.01,-0.01,-0.01
-9.104e-01,0.02,0.01,0.01
-9.102e-01,0.01,0,0.01
-9.100e-01,-0.02,0.01,0
-9.098e-01,0.01,0.02,0.01
-9.096e-01,1.42109e-16,0,-0.01
-9.094e-01,1.42109e-16,0.02,0.02
-9.092e-01,1.42109e-16,0.02,0.01
-9.090e-01,-0.02,0.02,0.01
-9.088e-01,1.42109e-16,0.01,0
-9.086e-01,-0.02,0.03,0.01
-9.084e-01,-0.01,0.03,0.02
-9.082e-01,-0.03,0.02,0.02
-9.080e-01,-0.01,0.03,0.01
-9.078e-01,1.42109e-16,0.02,0.02
-9.076e-01,0.01,0.02,0.01
-9.074e-01,1.42109e-16,0.02,0
-9.072e-01,1.42109e-16,0.01,0.01
-9.070e-01,-0.01,0.01,0.02
-9.068e-01,-0.01,0,-0.01
-9.066e-01,-0.01,0.03,0.02
-9.064e-01,1.42109e-16,0.03,0.01
-9.062e-01,0.01,0.01,0
-9.060e-01,-0.01,0,0
-9.058e-01,0.01,0.01,0.02
-9.056e-01,-0.03,0,0.01
-9.054e-01,-0.02,-0.01,-0.01
-9.052e-01,-0.02,0,0.01
-9.050e-01,-0.01,0.02,-0.01
-9.048e-01,0.02,-0.01,-0.02
-9.046e-01,-0.02,0,0.01
-9.044e-01,-0.01,-0.01,-0.01
-9.042e-01,1.42109e-16,0,-0.01
-9.040e-01,-0.01,0,0
-9.038e-01,0.01,0,-0.01
-9.036e-01,1.42109e-16,0.01,0
-9.034e-01,-0.01,0,0
-9.032e-01,0.01,-0.01,-0.01
-9.030e-01,-0.01,0,0
-9.028e-01,-0.02,-0.02,0
-9.026e-01,-0.04,0,-0.02
-9.024e-01,-0.01,-0.01,-0.02
-9.022e-01,0.02,0.01,0
-9.020e-01,-0.01,0.01,0
-9.018e-01,0.01,0.01,-0.01
-9.016e-01,-0.01,-0.02,-0.01
-9.014e-01,-0.02,-0.01,-0.01
-9.012e-01,-0.02,-0.03,-0.01
-9.010e-01,-0.03,-0.02,-0.02
-9.008e-01,-0.01,-0.01,-0.04
-9.006e-01,-0.01,-0.03,-0.02
-9.004e-01,-0.01,-0.03,-0.04
-9.002e-01,-0.02,0,-0.03
-9.000e-01,-0.01,-0.01,-0.01
-8.998e-01,-0.03,-0.02,-0.04
-8.996e-01,0.01,-0.02,-0.01
-8.994e-01,-0.01,0.01,-0.03
-8.992e-01,-0.01,-0.03,-0.04
-8.990e-01,-0.01,-0.02,-0.03
-8.988e-01,-0.01,-0.01,-0.01
-8.986e-01,1.42109e-16,0,-0.02
-8.984e-01,0.01,0.01,-0.03
-8.982e-01,1.42109e-16,-0.03,-0.02
-8.980e-01,-0.01,-0.02,-0.04
-8.978e-01,-0.02,-0.01,-0.01
-8.976e-01,-0.01,-0.02,-0.01
-8.974e-01,-0.01,-0.02,-0.01
-8.972e-01,-0.01,-0.01,-0.03
-8.970e-01,-0.01,-0.01,-0.01
-8.968e-01,-0.01,-0.02,-0.01
-8.966e-01,0.01,-0.01,-0.01
-8.964e-01,-0.01,-0.03,-0.01
-8.962e-01,1.42109e-16,-0.04,-0.01
-8.960e-01,0.01,0,-0.01
-8.958e-01,1.42109e-16,-0.01,-0.02
-8.956e-01,1.42109e-16,-0.02,-0.01
-8.954e-01,0.01,0,-0.02
